[2023-03-28 07:09:39,918] || ORDER-DELETED || Order |00000002| has been deleted, by |TEST-USER|
[2023-03-28 09:25:23,756] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 12:49:17,235] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 12:54:25,892] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:01:05,195] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:01:47,592] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:03:33,734] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:04:10,117] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:13:42,765] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:15:24,245] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:15:40,356] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:16:18,469] || ORDER-UPDATE || Order |00000001| has been updated
[2023-03-28 13:21:05,704] || ORDER-UPDATE || Order |00000001| has been updated
